Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_USRACT_MOVE_DOWN,Go prone,Go prone,Se coucher,Tumbado,A terra,Hinlegen,Лечь,Padnij,Zalehnout,Lehasal,Go prone
STR_USRACT_HELICOPTERTRIMON,Manual trim set,Manual trim set,Compensation manuelle réglée,Activar compens. man.,Imposta compensatori manuali,Manuelle Trim. festlegen,Manual trim set,Ręczne ustawienie trymu,Nastavit ruční ovládání vyvážení,Manual trim set,手動トリム：セット
STR_ACTION_NEXTCM,Counterrmeasure mode,Counterrmeasure mode,Contremesure 2,Contramedida 2,Contromisura 2,Gegenmaßnahme 2,Контрмера 2,Przeciwdziałanie 2,Protiopatření 2,Counterrmeasure mode,Counterrmeasure mode
STR_ACTION_LAUNCHCM,Counterrmeasure,Counterrmeasure,Contremesure,Contramedida,Contromisura,Gegenmaßnahme,Контрмера,Przeciwdziałanie,Protiopatření,Counterrmeasure,Counterrmeasure
STR_ACTION_FLAPS_UP,Flaps up,Flaps up,Volets rentrés,Subir aletas,Deflettori su,Landeklappen einf.,Убрать закрылки,Schowaj klapy,Klapky nahoru,Fékszárny fel,フラップ：上げる
STR_USRACT_SWITCH_WEAPON,Switch weapon,Switch weapon,Changer d'arme,Cambiar de arma,Cambia arma,Waffe wechseln,Смена оружия,Zmiana broni,Přepnout zbraň,Fegyver (kap.),武器の持ち替え
STR_USRACT_TOGGLE_WEAPONS,Toggle weapons,Toggle weapons,Changer modes tir/grenades,Intercambiar armas,Scorri tra le armi,Waffen umschalten,Сменить оружие,Przeglądanie broni,Přepnout zbraně,Fegyver mód váltás,武器切替
STR_USRACT_HELICOPTER_AUTOTRIM_TOGGLE,Auto-trim toggle,Auto-trim toggle,Compensation automatique,Activar/desactivar auto-compens.,Attivazione auto-compensatori,Autom. Trim. umschalten,Auto-trim toggle,Przełączenie autotrymowania,Přepínání automatického vyvážení,Auto-trim toggle,オートトリム切り換え
STR_USRACT_HELICOPTERTRIMOFF,Manual trim release,Manual trim release,Activer la compensation manuelle,Liberar compens. man.,Rilascia compensatori manuali,Manuelle Trim. aufheben,Manual trim release,Ręczne zwolnienie trymu,Pustit ruční ovládání vyvážení,Manual trim release,手動トリム：オフ
STR_ACTION_GETOUT,Get out,Get out,Sortir,Salir,Scendi,Aussteigen,Выйти,Wysiądź,Vystup,Kiszállás,降りる
STR_USRACT_PRONE,Prone,Prone,Se coucher,Tumbado,A terra,Hinlegen,Лечь,Na ziemię,Zalehnout,Lehasalás,匍匐
STR_USRACT_CROUCH,Crouch,Crouch,S'accroupir,Agacharse,Abbassati,Ducken,Пригнуться,Kucnięcie,Přikrčit,Guggolás,かがむ
STR_USRACT_STAND,Stand up,Stand up,Se relever,Levantarse,Alzati,Aufstehen,Встать,Powstanie,Vstát,Felállás,立つ
STR_ACTION_FLAPS_DOWN,Flaps down,Flaps down,Volets sortis,Bajar aletas,Deflettori giù,Landeklappen ausf.,Выпустить закрылки,Wypuść klapy,Klapky dolu,Fékszárny le,フラップ：降ろす
STR_ACTION_GEAR_UP,Gear up,Gear up,Train rentré,Subir marcha,Carrello su,Fahrgestell einz.,Убрать шасси,Schowaj podwozie,Zasunout podvozek,Futómű fel,着陸ギア：上げる
STR_ACTION_GEAR_DOWN,Gear down,Gear down,Train sorti,Reducir marcha,Carrello giù,Fahrgestell ausf.,Выпустить шасси,Wypuść podwozie,Vysunout podvozek,Futómű le,着陸ギア：降ろす
STR_ACTION_EJECT,Eject,Eject,Éjection,Extracción,Eiezione,Abspringen,Выпрыгнуть,Wyskocz,Vyskočit,Kiugrás,取り出し
STR_USRACT_TEMP_RAISE_WEAPON,Raise weapon,Raise weapon,Lever arme,Subir arma,Alza arma,Waffe heben,Поднять оружие,Podnieś broń,Zdvihnout zbraň,Fegyver fel,武器を構える
STR_USRACT_TOGGLE_RAISE_WEAPON,Toggle raise weapon,Toggle raise weapon,Lever/abaisser arme,Cambiar subir arma,Alza/abbassa arma,Waffe heben/senken,Подн./опуст. оружие,Przeł. zebraną broń,Zdvihnutí zbraňe,Fegyver fel (kap.),武器を構えるの切替
STR_USRACT_LOCK_TARGET,Lock target,Lock target,Verrouiller cible,Fijar objetivo,Aggancia obiettivo,Ziel erfassen,Захват цели,Namierz cel,Zaměřit cíl,Célpont rögzítése,Lock target
STR_USRACT_REVEAL_TARGET,Reveal target,Reveal target,Révéler cible,Desvelar objetivo,Rivela obiettivo,Ziel melden,Сообщить о цели,Pokaż cel,Prozradit cíl,Célpont felfedése,ターゲットの報告
STR_USRACT_ACTION,Use default action,Use default action,Action par default,Acción predeterminada,Usa azione predefinita,Standardaktion ausführen,Выполнить действие,Użyj domyślnej funkcji,Provést výchozí akci,Alapértelmezett akció használata,標準アクション
STR_USRACT_ACTION_CONTEXT,Use selected action,Use selected action,Action selectionnée,Acción seleccionada,Usa azione selezionata,Ausgewählte Aktion asuführen,Выполнить выбранное действие,Użyj wybranej funkcji,Provést vybranou akci,Kiválasztott akció használata,選択アクション
STR_USRACT_PREV_ACTION,Previous,Previous,Préc.,Anterior,Prec.,Zurück,Назад,Poprzedni,Předchozí,Előző,前に移動
STR_USRACT_NEXT_ACTION,Next,Next,Suiv.,Siguiente,Succ.,Nächstes,Вперед,Następny,Další,Következő,次に移動
STR_ACTION_SALUTE,Salute,Salute,Saluer,Saludar,Saluta,Salutieren,Приветствовать,Salut,Zasalutovat,Tisztelgés,あいさつ
STR_ACTION_SITDOWN,Sit down,Sit down,S'asseoir,Sentarse,Siediti,Hinsetzen,Сесть,Usiądź,Sednout si,Leülni,座る
STR_USRACT_FIRE,Command Fire,Command Fire,Ordonner tir,Orden de fuego,Ordine di sparare,Feuerbefehl,Команда 'Огонь',Strzał,Pálit,Parancs: tűz,射撃指示
STR_USRACT_HOLD_BREATH,Hold Breath,Hold Breath,Retenir respir.,Aguantar respiración,Trattieni il fiato,Luft anhalten,Задержать дыхание,Wstrzymanie oddechu,Zadržet dech,Lélegzet visszatartás,息を止める
STR_USRACT_LOCK_TARGETS,Next target,Next target,Cible suiv.,Siguiente objetivo,Obiettivo succ.,Nächstes Ziel,Следующая цель,Kolejny cel,Další cíl,Következő célpont,次のターゲット
STR_USRACT_TARGET_EMPTY_NEXT,Next empty target,Next empty target,Suivant cible vide,Siguiente destino vacío,Prossimo obiettivo vuota,Nächstes Ziel leer,Next empty target,Następna pusty cel,Další prázdné cíl,Next empty target,次の空のターゲット
STR_USRACT_DEFAULT_ACTION,Fire,Fire,Tirer,Fuego,Fuoco,Schießen,Огонь,Strzał,Pálit,Tüzelés,射撃
STR_USRACT_RELOAD_MAGAZINE,Reload,Reload,Recharger,Recargar,Ricarica,Nachladen,Перезарядить,Przeładowanie,Dobít,Újratöltés,再装填
STR_USRACT_SHOW_MAP,Map,Map,Carte,Mapa,Mappa,Karte,Карта,Mapa,Mapa,Térkép,マップ
STR_USRACT_GPS_TOGGLE,GPS (Toggle),GPS (Toggle),GPS (bascule),GPS (cambiar),GPS (cambia),GPS (umsch.),GPS (перекл.),GPS (Wł./Wył.),GPS (trvale),GPS (rögzít),GPS切替（押している間）
STR_USRACT_HELP,Last help,Last help,Dernière aide,Última ayuda,Ultimo aiuto,Letzten Tipp zeigen,Повтор последнего сообщения,Ostatnia pomoc,Poslední nápověda,Utolsó segítség,Last help
STR_USRACT_HIDE_MAP,Hide Map,Hide Map,Masquer carte,Ocultar mapa,Nascondi mappa,Karte wegstecken,Убрать карту,Ukryj mapę,Skrýt mapu,Térkép elrejtése,マップ非表示
STR_USRACT_WATCH,Watch,Watch,Horloge,Reloj,Orologio,Uhr,Часы,Zegarek,Hodinky,Óra,時計
STR_USRACT_COMPASS_TOGGLE,Compass (Toggle),Compass (Toggle),Boussole (bascule),Brújula (cambiar),Bussola (cambia),Kompass (umsch.),Компас (вкл.),Kompas (Wł./Wył.),Kompas (trvale),Iránytű (rögzít),コンパス切替
STR_USRACT_GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS
STR_USRACT_WATCH_TOGGLE,Watch (Toggle),Watch (Toggle),Horloge (bascule),Reloj (cambiar),Orologio (cambia),Uhr (umsch.),Часы,Zegarek (Wł./Wył.),Hodinky (trvale),Óra (rögzít),時計切替
STR_USRACT_BINOCULAR,Binoculars,Binoculars,Jumelles,Prismáticos,Binocolo,Fernglas,Бинокль,Lornetka,Dalekohled,Távcső,双眼鏡
STR_USRACT_NIGHT_VISION,Night vision,Night vision,Vision nocturne,Visión nocturna,Visione notturna,Nachtsichtgerät,Ночное видение,Noktowizja,Noční vidění,Éjjellátó,ナイトビジョン
STR_USRACT_COMPASS,Compass,Compass,Boussole,Brújula,Bussola,Kompass,Компас,Kompas,Kompas,Iránytű,コンパス
STR_ITEMS_MAPNW_DESC,"Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the NW region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_USRACT_HANDGUN,Switch gun / handgun,Switch gun / handgun,Arme/arme de poing,Cambiar arma,Cambia arma/pistola,Feuerwaffe wechs.,Оружие/пистолет,Broń główna / ręczna,Přep. pušku/pistoli,Fegyver/pisztoly vált.,ガン／ハンドガン持ち替え
STR_USRACT_HEADLIGHTS,Headlights on/off,Headlights on/off,Phares oui/non,Encender/apagar luces posición,Luci anteriori sì/no,Scheinwerfer an/aus,Свет вкл./выкл.,Światła wł./wył.,Rozsvítit / zhasnout světla,Fényszórók ki/be,ヘッドライトのオン／オフ
STR_USRACT_ACTION_FREELOOK,Freelook interaction,Freelook interaction,Interaction Observation libre,Interacción con visión libre,Interazione visuale libera,Freie Interaktion,Freelook interaction,Interakcja z kamerą,Interakce během rozhlížení se,Freelook interaction,フリールック：
STR_UI_SPEED_WANTED,Set %4.0f,Set %4.0f,Régler %4.0f,Ajustar %4.0f,Imposta %4.0f,%4.0f setzen,Назначить %4.0f,Ustaw %4.0f,Nastavit %4.0f,Beállít %5.0f,Set %4.0f
STR_UI_ALT_WANTED,Set %5.0f,Set %5.0f,Régler %5.0f,Ajustar %5.0f,Imposta %5.0f,%5.0f setzen,Назначить %5.0f,Ustaw %5.0f,Nastavit %5.0f,Beállít %5.0f,Set %5.0f
STR_USRACT_ZOOM_OUT_TOGGLE,Zoom out (Toggle),Zoom out (Toggle),Zoom arr. (bascule),Alejar (cambiar),Zoom indietro (camb.),Wegzoomen (umsch.),Отдалить (перекл.),Oddalenie (Wł./Wył.),Odzoomovat (přep.),Távolítás (rögzít),ズームアウト切替
STR_USRACT_LOCK_OR_ZOOM,Lock or Zoom,Lock or Zoom,Verrouillage ou zoom,Fijar o zoom,Aggancia o zoom,Ziel erfassen/zoom,Захват или приближ.,Namierz lub Zbliż,Zamknout nebo zoom,"Cél lezár, vagy zoom",ロック・ズーム
STR_USRACT_LOOK_ARROUND,Look,Look,Regard,Mirar,Guarda,Blick,Осмотр,Rozejrzyj się,Pohled,Nézet,フリールック
STR_USRACT_LOOK_ARROUND_TOGGLE,Freelook,Freelook,Regard libre,Vista libre,Sguardo libero,Blick frei,Свободный осмотр,Swobodne rozglądanie,Volný pohled,Szabad nézelődés,フリールック切替
STR_USRACT_ZOOM_CONT_OUT,Zoom out (continuous),Zoom out (continuous),Zoom arr. (continu),Alejar (continuo),Zoom - (continuo),Wegzoomen (kont.),Отдалить (постоянно),Oddalenie (ciągłe),Oddálit (plynule),Kicsinyítés (folyamatos),Zoom out (continuous)
STR_USRACT_ZOOM_IN,Zoom in,Zoom in,Zoom avant,Acercar,Zoom avanti,Hinzoomen,Приблизить,Zbliżenie,Zoom +,Közelítés,ズームイン
STR_USRACT_ZOOM_IN_TOGGLE,Zoom in (Toggle),Zoom in (Toggle),Zoom avant (bascule),Acercar (cambiar),Zoom avanti (cambia),Hinzoomen (umsch.),Приблизить (перекл.),Zbliżenie (Wł./Wył.),Zazoomovat (přep.),Közelítés (rögzít),ズームイン切替
STR_USRACT_ZOOM_OUT,Zoom out,Zoom out,Zoom arr.,Alejar,Zoom indietro,Wegzoomen,Отдалить,Oddalenie,Zoom -,Távolítás,ズームアウト
STR_USRACT_PERSON_VIEW,Toggle view,Toggle view,Basculer vue,Cambiar vista,Cambia visuale,Ansicht umschalten,Переключить вид,Zmień widok,Přepnout zobrazení,Nézet váltása,視点切替
STR_USRACT_TACTICAL_VIEW,Tactical view,Tactical view,Vue tactique,Vista táctica,Visuale tattica,Taktische Ansicht,Тактический вид,Widok taktyczny,Taktický pohled,Taktikai nézet,タクティカル視点
STR_USRACT_LITE_INFO_TYPE,Toggle full HUD info,Toggle full HUD info,Activer les infos HUD,Activar/desactivar información de HUD completa,Attivazione HUD completo,Komplettdaten-HUD umsch.,Toggle full HUD info,Przełącz pełne informacje na HUD,Přepínání informační HUD,Toggle full HUD info,完全HUD情報切り換え
STR_ITEMS_FULLMAP_DESC,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.,A full map of Chernarus.
STR_USRACT_ZOOM_CONT_IN,Zoom in (continuous),Zoom in (continuous),Zoom av. (continu),Acercar (continuo),Zoom + (continuo),Hinzoomen (kont.),Приблизить (постоян.),Zbliżenie (ciągłe),Přiblížit (plynule),Nagyítás (folyamatos),Zoom in (continuous)
STR_USRACT_TIME_INC,Time acceleration,Time acceleration,Accél. temporelle,Aceleración de tiempo,Acceleraz. temporale,Zeit beschleunigen,Ускорение времени,Przyspieszenie czasu,Zrychlit simulaci,Időgyorsítás,Time acceleration
STR_USRACT_TIME_DEC,Time deceleration,Time deceleration,Décél. temporelle,Reducción de tiempo,Deceleraz. temporale,Zeit verlangsamen,Замедление времени,Spowolnienie czasu,Zpomalit simulaci,Időlassítás,Time deceleration
STR_USRACT_OPTICS,Optics,Optics,Visée,Efecto óptico,Ottica,Visier,Оптика,Optyka,Optika,Célzás,照準機を覗く
STR_USRACT_OPTICS_MODE,Optics Mode,Optics Mode,Mode Viseur,Modo telescópico,Modalità ottiche,Visiermodus,Режим прицела,Tryb optyki,Režim optiky,Optics Mode,Optics Mode
STR_USRACT_LOOK_SHIFT_UP_CONT,Head up (anlg.),Head up (anlg.),Tête haut (analog.),Cabeza hacia arriba (analóg.),Testa su (anlg.),Kopf nach oben (analog),Head up (anlg.),Głowa w górę (analog.),Hlavu nahoru (analogově),Head up (anlg.),上を向く（anlg）
STR_LOCATION_KARMANOVKA,Karmanovka,Karmanovka,Karmanovka,Karmanovka,Karmanovka,Karmanovka,Кармановка,Karmanovka,Karmanovka,Karmanovka,Karmanovka
STR_USRACT_LOOK_SHIFT_RIGHT_CONT,Head right (anlg.),Head right (anlg.),Tête droite (analog.),Cabeza a derecha (analóg.),Testa a destra (anlg.),Kopf nach rechts (analog),Head right (anlg.),Głowa w prawo (analog.),Hlavu vpravo (analogově),Head right (anlg.),右を向く（anlg）
STR_LOCATION_SVETLOJARSK,Svetlojarsk,Svetlojarsk,Svetlojarsk,Svetlojarsk,Svetlojarsk,Svetlojarsk,Светлоярск,Svetlojarsk,Svetlojarsk,Svetlojarsk,Svetlojarsk
STR_USRACT_LOOK_SHIFT_LEFT_CONT,Head left (anlg.),Head left (anlg.),Tête gauche (analog.),Cabeza a izquierda (analóg.),Testa a sinistra (anlg.),Kopf nach links (analog),Head left (anlg.),Głowa w lewo (analog.),Hlavu vlevo (analogově),Head left (anlg.),左を向く（anlg）
STR_LOCATION_CERPOLANA,Cernaya Polana,Cernaya Polana,Cernaya Polana,Cernaya Polana,Cernaya Polana,Cernaya Polana,Черная Поляна,Cernaya Polana,Cernaya Polana,Cernaya Polana,Cernaya Polana
STR_USRACT_LOOK_UP_CONT,Look up (Analog),Look up (Analog),Regard haut (analog.),Mirar arriba (anlg.),Guarda su (analog.),Blick oben analog,См. вверх (аналог.),Spójrz góra (analog.),Pohled nahoru (anlg.),Felfelé néz (analóg),上を見る（anlg）
STR_USRACT_LOOK_DOWN_CONT,Look down (Analog),Look down (Analog),Regard bas (analog.),Mirar abajo (anlg.),Guarda giù (analog.),Blick unten analog,См. вниз (аналог.),Spójrz dół (analog.),Pohled dolů (anlg.),Lefelé néz (analóg),下を見る（anlg）
STR_USRACT_LOOK_RIGHT_CONT,Look right (Analog),Look right (Analog),Regard D (analog.),Mirar derecha (anlg.),Guarda a des. (analog),Blick rechts analog,См. вправо (аналог.),Spójrz prawo (analog.),Pohled vpravo (anlg.),Jobbra néz (analóg),右を見る（anlg）
STR_USRACT_LOOK_LEFT_CONT,Look left (Analog),Look left (Analog),Regard G (analog.),Mirar izquierda (anlg),Guarda a sin. (analog),Blick links analog,См. влево (аналог.),Spójrz lewo (analog.),Pohled vlevo (anlg.),Balra néz (analóg),左を見る（anlg）
STR_USRACT_LOOK_RIGHT_UP,Look right up,Look right up,Regard haut D,Mirar derecha arriba,Guarda su a destra,Blick re / ob,Смотр. вправо-вверх,Spójrz prawo i góra,Pohled vpravo nahoru,Jobbra fel néz,右上を見る
STR_USRACT_LOOK_UP,Look up,Look up,Regard haut,Mirar arriba,Guarda su,Blick oben,Смотреть вверх,Spójrz góra,Pohled nahoru,Felfelé néz,上を見る
STR_USRACT_LOOK_LEFT_UP,Look left up,Look left up,Regard haut G,Mirar izquierda arriba,Guarda su a sinistra,Blick li / ob,Смотр. влево-вверх,Spójrz lewo i góra,Pohled vlevo nahoru,Balra fel néz,左上を見る
STR_USRACT_LOOK_RIGHT,Look right,Look right,Regard D,Mirar derecha,Guarda a destra,Blick rechts,Смотреть вправо,Spójrz prawo,Pohled vpravo,Jobbra néz,右を見る
